r;R;A;V;V2
8.71;17.45;6000.304952;26131.32807;1323.828545
8.3;58.99;19329.30439;80216.61323;4063.8211
8.18;23.89;7714.880264;31553.86028;1598.537236
3.33;46.84;6157.733038;10252.62551;519.404076
5.02;35.35;7005.721553;17584.3611;890.83414
8.39;22.59;7482.348436;31388.45169;1590.157539
1.09;63.79;2744.977802;1496.012902;75.788899
6.62;64.5;16856.88953;55796.30435;2826.6738
6.9;20.2;5502.501846;18983.63137;961.722
4.47;84.78;14961.00169;33437.83878;1693.980702
7.38;60.46;17615.06465;64999.58855;3292.917624
6.78;68.08;18222.54275;61774.41991;3129.528672
1.58;35.45;2211.225648;1746.868262;88.49738
2.97;14.28;1674.342856;2486.399141;125.962452
1.44;32.63;1854.980304;1335.585819;67.661568
2.29;58.67;5304.095162;6073.188961;307.671347
4.6;63.69;11566.14992;26602.14481;1347.6804
1.87;21.57;1592.397505;1488.891667;75.428133
8.32;48.46;15917.19265;66215.52144;3354.517504
8.6;15.43;5238.707059;22526.44035;1141.2028
2.94;16.92;1963.845988;2886.853602;146.249712
1.74;11.73;805.762399;701.0132871;35.513748
5.17;74.36;15177.13024;39232.88167;1987.561004
6.49;68.41;17527.66338;56877.26766;2881.436041
3.73;38.34;5645.73744;10529.30033;533.420586
7.55;42.81;12760.03649;48169.13773;2440.277025
4.84;34.06;6508.032933;15749.4397;797.875936
2.76;48.48;5282.401772;7289.714445;369.301248
7.73;40.69;12417.29276;47992.83651;2431.345501
4.47;76.82;13556.31222;30298.35781;1534.932738
1.3;50.81;2607.667918;1694.984147;85.8689
1.56;47.49;2924.734881;2281.293207;115.571664
8.74;75.16;25933.30936;113328.5619;5741.292016
4.35;38.72;6649.428834;14462.50771;732.6792
4.2;54.65;9061.481193;19029.1105;964.026
7.1;23.73;6651.442233;23612.61993;1196.2293
2.4;82.9;7854.625967;9425.55116;477.504
2.94;12.83;1489.133808;2189.026697;110.897388
7.58;82.63;24726.73048;93714.30853;4747.622332
2.09;47.63;3929.946194;4106.793772;208.052603
2.76;18.38;2002.692751;2763.715996;140.011488
6.25;45.35;11189.66399;34967.69997;1771.484375
1.1;67.22;2919.113155;1605.512235;81.3362
