r;R;A;V
6.56;70.44;18242.43987;59835.20277
8.36;87.4;28845.45852;120574.0166
6.95;44.81;12294.74386;42724.2349
6.04;36.18;8627.10806;26053.86634
1.36;20.79;1116.228571;759.0354281
7.06;49.43;13777.01237;48632.85365
8.67;68.15;23326.23756;101119.2398
1.06;64.63;2704.579538;1433.427155
5.86;53.41;12356.05779;36203.24931
3.05;77.56;9338.935512;14241.87666
7.79;89.07;27392.30929;106693.0447
7.54;46.07;13713.53107;51700.01214
2.26;69.41;6192.845143;6997.915012
4.27;56.61;9542.908652;20374.10997
5.97;25.31;5965.216535;17806.17136
8.06;30.03;9555.427258;38508.37185
3.52;23.59;3278.161467;5769.564182
7.4;64.37;18805.07048;69578.76079
1.75;76.04;5253.393031;4596.718902
1.1;27.64;1200.301809;660.1659949
8.65;18.56;6338.023076;27411.9498
3.04;10.91;1309.35699;1990.222624
8.21;31.17;10102.75209;41471.79734
8.22;24.79;8044.667173;33063.58208
1.66;63.77;4179.114226;3468.664808
7.81;72.06;22218.00337;86761.30317
8.19;72.43;23418.66444;95899.43087
7.18;43.17;12236.75401;43929.94689
8.69;70.7;24254.86864;105387.4043
8.12;28.15;9023.897739;36637.02482
6.81;39.55;10632.93934;36205.15847
2.8;49.53;5475.024867;7665.034814
6.69;79.93;21110.36136;70614.15875
5.8;63.34;14503.26523;42059.46917
4.73;35.46;6621.549175;15659.9638
8.29;79.15;25903.90189;107371.6733
1.12;71.43;3158.336574;1768.668481
8.09;21.12;6745.314015;27284.79519
6.29;61.42;15251.76813;47966.81078
3.1;49.07;6005.338451;9308.274599
5.97;73;17205.08918;51357.19119
5.48;33.43;7232.303983;19816.51291
7.81;24.71;7618.746369;29751.20457
6.15;70.07;17012.45424;52313.29678
3.05;79.05;9518.34518;14515.4764
5.36;56.52;11959.87607;32052.46788
3.69;81.64;11892.93647;21942.46778
8.35;29.88;9849.786235;41122.85753
8.15;52.52;16898.26291;68860.42138
5.33;71.63;15072.38215;40167.89844
4;40.78;6439.71948;12879.43896
4.83;43.76;8344.189928;20151.21868
1.35;20.77;1106.95509;747.194686
7.09;18.07;5057.828793;17930.00307
2.04;36.42;2933.120097;2991.782499
8.75;44.34;15316.63907;67010.29593
4.95;76.47;14943.62724;36985.47742
2.04;76.91;6194.0216;6317.902032
5.46;42.66;9195.455151;25103.59256
4.64;19.58;3586.661613;8321.054943
5.26;45.4;9427.604038;24794.59862
4.25;83.45;14001.51428;29753.21785
8.63;61.76;21041.55442;90794.30734
8.33;72.95;23989.9882;99918.30085
7.94;45.4;14231.02206;56497.1576
