C_gelbe     [ppm];Stahl-   gewicht;Kohle Summe  [kg];O2 [m³]  gesamt;Celox    t [min];Desox   t [min];Zugabe   C ges.  [ppm];Spülgas TR Summe;RH_RH1;RH_RH2;RH_RH3;RH_RH4;BH2;BH3;BH4;BH5;BH6;BH7;BH9;BH10;BH11;BH12;BH13;BH20;BH22;BH23;BH24;MW VT   [ppm]
29.0;178.4;0.0;35.1;15.8;18.0;7.5;0.0;1.0;0.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;28.0
25.0;182.1;30.0;0.0;22.0;25.0;13.5;0.0;0.0;0.0;0.0;1.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;33.0
21.0;179.0;24.0;0.0;18.5;22.1;16.1;0.0;1.0;0.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;32.0
28.0;180.8;0.0;0.0;15.0;18.9;5.1;0.0;0.0;1.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;28.0
19.0;178.3;0.0;0.0;22.6;25.8;5.1;0.0;0.0;0.0;0.0;1.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;22.0
26.0;176.2;0.0;0.0;15.8;19.1;5.3;0.0;0.0;1.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;21.0
46.0;176.7;0.0;0.0;14.0;18.7;5.1;0.0;0.0;1.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;30.0
26.0;179.2;0.0;0.0;15.1;18.2;5.0;0.0;0.0;1.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;24.0
34.0;178.1;26.0;0.0;15.9;19.9;6.4;0.0;0.0;1.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;33.0
25.0;176.2;0.0;22.5;17.2;22.4;9.1;0.0;0.0;1.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;35.0
24.0;171.8;0.0;15.2;16.2;21.2;10.5;0.0;0.0;1.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;27.0
29.0;180.3;0.0;10.0;17.1;21.4;6.5;0.0;0.0;1.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;31.0
29.0;173.7;0.0;50.1;19.2;22.5;6.6;0.0;0.0;1.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;29.0
29.0;174.1;0.0;30.2;14.6;17.6;8.1;0.0;1.0;0.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;26.0
20.0;178.8;0.0;0.0;17.8;20.2;11.4;0.0;1.0;0.0;0.0;0.0;-0.130255299417291;-1.87745146959932;25.8840664161133;0.0;38.5307967156564;2.33;0.63;-11.37;-11.33;-11.0;-10.9;0.0;-0.25;0.4;0.55;26.5
